DEPARTAMENTO,MUNICIPIO,VIVIENDAS,COBERTURA,ICE,IAE
LEMPIRA,Mapulaca,"1,543","1,401",90.80%,91.77%
LEMPIRA,Piraera,"2,757","1,024",37.14%,53.46%
LEMPIRA,San Andrés,"3,088","1,215",39.35%,70.40%
LEMPIRA,San Francisco del Valle,"1,590",927,58.30%,60.57%
LEMPIRA,San Juan Guarita,911,864,94.84%,94.84%
LEMPIRA,San Manuel Colohete,"3,550","1,367",38.51%,64.59%
LEMPIRA,San Rafael,"4,167","3,630",87.11%,90.52%
LEMPIRA,San Sebastián,"3,495","1,115",31.90%,33.36%
LEMPIRA,Santa Cruz,"2,269",458,20.19%,50.24%
LEMPIRA,Talgua,"3,163","2,748",86.88%,88.27%
LEMPIRA,Tambla,"1,516","1,325",87.40%,89.91%
LEMPIRA,Tomalá,"1,753","1,605",91.56%,94.18%
LEMPIRA,Valladolid,"1,389","1,281",92.22%,94.82%
LEMPIRA,Virginia,812,728,89.66%,90.15%
LEMPIRA,San Marcos de Caiquín,"1,653","1,003",60.68%,71.69%
OCOTEPEQUE,Ocotepeque,"8,997","8,244",91.63%,91.63%
OCOTEPEQUE,Belén Gualcho,"4,294","3,294",76.71%,88.15%
OCOTEPEQUE,Concepción,"1,993","1,616",81.08%,84.90%
OCOTEPEQUE,Dolores Merendón,"1,068",974,91.20%,102.90%
OCOTEPEQUE,Fraternidad,"2,124","1,804",84.93%,90.30%
OCOTEPEQUE,La Encarnación,"1,653","1,557",94.19%,94.37%
OCOTEPEQUE,La Labor,"3,459","3,216",92.97%,93.00%
OCOTEPEQUE,Lucerna,"2,193","1,806",82.35%,84.04%
OCOTEPEQUE,Mercedes,"2,680","2,342",87.39%,90.97%
OCOTEPEQUE,San Fernando,"2,332","2,097",89.92%,90.57%
OCOTEPEQUE,San Francisco del Valle,"3,677","3,318",90.24%,91.30%
OCOTEPEQUE,San Jorge,"1,050",877,83.52%,84.48%
OCOTEPEQUE,San Marcos,"8,627","8,180",94.82%,95.25%
OCOTEPEQUE,Santa Fe,"1,748","1,600",91.53%,103.20%
OCOTEPEQUE,Sensenti,"3,985","3,738",93.80%,93.80%
OCOTEPEQUE,Sinuapa,"3,742","3,275",87.52%,88.54%
OLANCHO,Juticalpa,"37,377","34,290",91.74%,92.19%
OLANCHO,Campamento,"6,100","4,758",78.00%,84.95%
OLANCHO,Catacamas,"34,894","25,858",74.10%,76.92%
OLANCHO,Concordia,"2,569","2,440",94.98%,94.98%
OLANCHO,Dulce nombre de Culmí,"5,530","2,865",51.81%,70.13%
OLANCHO,El Rosario,"1,246","1,236",99.20%,99.20%
OLANCHO,Esquipulas del Norte,"2,277","1,549",68.03%,68.25%
OLANCHO,Gualaco,"7,287","4,574",62.77%,67.38%
OLANCHO,Guarizama,"2,282","2,210",96.84%,96.84%
OLANCHO,Guata,"2,394",995,41.56%,50.92%
OLANCHO,Guayape,"3,042","2,034",66.86%,68.41%
OLANCHO,Jano,"1,057",697,65.94%,68.21%
OLANCHO,La Unión,"2,350","1,601",68.13%,71.74%
OLANCHO,Mangulile,"1,696",790,46.58%,47.23%
OLANCHO,Manto,"3,403","3,090",90.80%,91.39%
OLANCHO,Salamá,"2,377","2,318",97.52%,97.56%
OLANCHO,San Estéban,"6,973","5,765",82.68%,86.68%
OLANCHO,San Francisco de Becerra,"2,395","2,214",92.44%,93.49%
OLANCHO,San Francisco de la Paz,"5,518","4,943",89.58%,89.58%
OLANCHO,Santa María del Real,"3,829","3,436",89.74%,89.74%
OLANCHO,Silca,"2,087","1,989",95.30%,95.40%
OLANCHO,Yocón,"2,181","1,349",61.85%,74.42%
OLANCHO,Patuca,"5,747","3,710",64.56%,64.57%
SANTA BÁRBARA,Santa Bárbara,"17,349","16,217",93.48%,94.31%
SANTA BÁRBARA,Arada,"3,559","3,250",91.32%,91.63%
SANTA BÁRBARA,Atíma,"6,546","5,109",78.05%,80.22%
SANTA BÁRBARA,Azacualpa,"7,753","5,703",73.56%,78.74%
SANTA BÁRBARA,Ceguaca,"1,585","1,470",92.74%,95.33%
SANTA BÁRBARA,San José de Colinas,"6,760","5,918",87.54%,88.92%
SANTA BÁRBARA,Concepción del Norte,"2,718","2,111",77.67%,82.23%
SANTA BÁRBARA,Concepción del Sur,"2,104","1,914",90.97%,93.44%
SANTA BÁRBARA,Chinda,"1,417","1,259",88.85%,91.95%
SANTA BÁRBARA,El Níspero,"2,727","2,427",89.00%,89.73%
SANTA BÁRBARA,Gualala,"2,032","1,712",84.25%,84.94%
SANTA BÁRBARA,Ilama,"3,664","2,714",74.07%,77.78%
SANTA BÁRBARA,Macuelizo,"10,608","9,277",87.45%,88.11%
SANTA BÁRBARA,Naranjito,"4,844","3,053",63.03%,68.48%
SANTA BÁRBARA,Nuevo Celilac,"2,615","2,057",78.66%,78.66%
SANTA BÁRBARA,Petoa,"4,855","3,971",81.79%,82.92%
SANTA BÁRBARA,Protección,"5,475","3,652",66.70%,69.64%
SANTA BÁRBARA,Quimistán,"17,890","14,279",79.82%,82.52%
SANTA BÁRBARA,San Francisco de Ojuera,"2,580","2,101",81.43%,83.53%
SANTA BÁRBARA,San Luis,"10,485","6,305",60.13%,60.26%
SANTA BÁRBARA,San Marcos,"6,162","4,493",72.91%,73.52%
SANTA BÁRBARA,San Nicolás,"4,940","4,112",83.24%,86.70%
SANTA BÁRBARA,San Pedro Zacapa,"3,725","3,349",89.91%,90.85%
SANTA BÁRBARA,Santa Rita,"1,365","1,039",76.12%,89.82%
SANTA BÁRBARA,San Vicente Centenario,"1,744","1,493",85.61%,85.61%
SANTA BÁRBARA,Trinidad,"7,286","6,386",87.65%,88.36%
SANTA BÁRBARA,Las Vegas,"7,890","7,420",94.04%,94.46%
SANTA BÁRBARA,Nueva Frontera,"5,182","3,708",71.56%,78.19%
VALLE,Nacaome,"17,030","15,649",91.89%,91.93%
VALLE,Alianza,"2,706","2,624",96.97%,96.97%
VALLE,Amapala,"3,644","3,553",97.50%,97.50%
VALLE,Aramecina,"2,031","1,980",97.49%,97.49%
VALLE,Caridad,"1,384","1,219",88.08%,88.22%
VALLE,Goascorán,"5,036","4,874",96.78%,96.78%
VALLE,Langue,"5,092","3,213",63.10%,63.49%
VALLE,San Francisco de Coray,"2,080","1,463",70.34%,70.34%
VALLE,San Lorenzo,"13,364","13,126",98.22%,98.22%
YORO,Yoro,"21,841","14,605",66.87%,68.02%
YORO,Arenal,"1,559","1,360",87.24%,87.56%
YORO,El Negrito,"15,341","12,561",81.88%,82.61%
YORO,El Progreso,"63,641","61,607",96.80%,97.33%
YORO,Jocón,"2,265","1,658",73.20%,73.33%
YORO,Morazán,"13,317","12,056",90.53%,91.60%
YORO,Olanchito,"31,864","28,620",89.82%,91.46%
YORO,Santa Rita,"6,851","6,552",95.64%,98.37%
YORO,Sulaco,"4,070","3,822",93.91%,94.28%
YORO,Victoria,"7,293","5,197",71.26%,76.92%
YORO,Yorito,"3,409","3,038",89.12%,91.82%
,Total,,"2,204,870",85.66%,87.36%
